month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024/10/01 04:00:00+00,Total,31,Commuter Rail,2892062,93292,204
2024/10/01 04:00:00+00,Total,31,Ferry,135036,4356,205
2024/10/01 04:00:00+00,Total,31,The RIDE,109565,3534,206
2024/09/01 04:00:00+00,Weekday,20,Blue Line,891347,44567,207
2024/09/01 04:00:00+00,Weekday,20,Orange Line,2448924,122446,208
2024/09/01 04:00:00+00,Weekday,20,Red Line,2451954,122598,209
2024/09/01 04:00:00+00,Weekday,20,Heavy Rail,5792225,289611,210
2024/09/01 04:00:00+00,Weekday,20,Green Line,2215383,110769,211
2024/09/01 04:00:00+00,Weekday,20,Mattapan Line,106446,5322,212
2024/09/01 04:00:00+00,Weekday,20,Light Rail,2321829,116091,213
2024/09/01 04:00:00+00,Weekday,20,Silver Line,645919,32296,214
2024/09/01 04:00:00+00,Weekday,20,Bus,5987489,299374,215
2024/09/01 04:00:00+00,Weekday,20,All Bus,6633407,331670,216
2024/09/01 04:00:00+00,Weekday,20,Commuter Rail,2268778,113439,217
2024/09/01 04:00:00+00,Weekday,20,Ferry,112138,5607,218
2024/09/01 04:00:00+00,Weekday,20,The RIDE,81564,4078,219
2024/09/01 04:00:00+00,Saturday,4,Blue Line,134633,33658,220
2024/09/01 04:00:00+00,Saturday,4,Orange Line,320065,80016,221
2024/09/01 04:00:00+00,Saturday,4,Red Line,308185,77046,222
2024/09/01 04:00:00+00,Saturday,4,Heavy Rail,762883,190721,223
2024/09/01 04:00:00+00,Saturday,4,Green Line,396332,99083,224
2024/09/01 04:00:00+00,Saturday,4,Mattapan Line,9719,2430,225
2024/09/01 04:00:00+00,Saturday,4,Light Rail,406051,101512,226
2024/09/01 04:00:00+00,Saturday,4,Silver Line,84298,21074,227
2024/09/01 04:00:00+00,Saturday,4,Bus,660252,165063,228
2024/09/01 04:00:00+00,Saturday,4,All Bus,744550,186137,229
2024/09/01 04:00:00+00,Saturday,4,Commuter Rail,155652,38913,230
2024/09/01 04:00:00+00,Saturday,4,Ferry,12107,3027,231
2024/09/01 04:00:00+00,Saturday,4,The RIDE,8096,2024,232
2024/09/01 04:00:00+00,Sunday,5,Blue Line,137340,27468,233
2024/09/01 04:00:00+00,Sunday,5,Orange Line,299492,59898,234
2024/09/01 04:00:00+00,Sunday,5,Red Line,318591,63718,235
2024/09/01 04:00:00+00,Sunday,5,Heavy Rail,755423,151084,236
2024/09/01 04:00:00+00,Sunday,5,Green Line,393987,78797,237
2024/09/01 04:00:00+00,Sunday,5,Mattapan Line,10532,2106,238
2024/09/01 04:00:00+00,Sunday,5,Light Rail,404518,80904,239
2024/09/01 04:00:00+00,Sunday,5,Silver Line,89282,17856,240
2024/09/01 04:00:00+00,Sunday,5,Bus,582394,116479,241
2024/09/01 04:00:00+00,Sunday,5,All Bus,671676,134335,242
2024/09/01 04:00:00+00,Sunday,5,Commuter Rail,152865,30573,243
2024/09/01 04:00:00+00,Sunday,5,Ferry,13972,2794,244
2024/09/01 04:00:00+00,Sunday,5,The RIDE,9000,1800,245
2024/09/01 04:00:00+00,Total,30,Blue Line,1191067,39702,246
2024/09/01 04:00:00+00,Total,30,Orange Line,3126383,104213,247
2024/09/01 04:00:00+00,Total,30,Red Line,3139775,104659,248
2024/09/01 04:00:00+00,Total,30,Heavy Rail,7457224,248574,249
2024/09/01 04:00:00+00,Total,30,Green Line,3077112,102570,250
2024/11/01 04:00:00+00,Total,30,All Bus,7907307,263577,251
2024/11/01 04:00:00+00,Total,30,Commuter Rail,2370524,79017,252
2024/11/01 04:00:00+00,Total,30,Ferry,91942,3065,253
2024/11/01 04:00:00+00,Total,30,The RIDE,100652,3355,254
2024/10/01 04:00:00+00,Weekday,22,Blue Line,1096881,49858,255
2024/10/01 04:00:00+00,Weekday,22,Orange Line,2400030,109092,256
2024/10/01 04:00:00+00,Weekday,22,Red Line,3198608,145391,257
2024/10/01 04:00:00+00,Weekday,22,Heavy Rail,6695519,304342,258
2024/10/01 04:00:00+00,Weekday,22,Green Line,2551598,115982,259
2024/10/01 04:00:00+00,Weekday,22,Mattapan Line,81929,3724,260
2024/10/01 04:00:00+00,Weekday,22,Light Rail,2633527,119706,261
2024/10/01 04:00:00+00,Weekday,22,Silver Line,751867,34176,262
2024/10/01 04:00:00+00,Weekday,22,Bus,6588892,299495,263
2024/10/01 04:00:00+00,Weekday,22,All Bus,7340758,333671,264
2024/10/01 04:00:00+00,Weekday,23,Commuter Rail,2531640,110071,265
2024/10/01 04:00:00+00,Weekday,23,Ferry,119940,5215,266
