month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2019/11/01 04:00:00+00,Saturday,5,All Bus,1043398,208680,2970
2020/02/01 05:00:00+00,Sunday,4,Blue Line,108417,27104,2971
2020/05/01 04:00:00+00,Saturday,4,All Bus,419345,104836,2972
2019/12/01 05:00:00+00,Saturday,4,Heavy Rail,787775,196944,2973
2020/01/01 05:00:00+00,Sunday,4,Red Line,297055,74264,2974
2019/11/01 04:00:00+00,Saturday,5,Commuter Rail,85235,17047,2975
2020/02/01 05:00:00+00,Sunday,4,Orange Line,168181,42045,2976
2020/05/01 04:00:00+00,Saturday,4,Commuter Rail,2744,686,2977
2019/12/01 05:00:00+00,Saturday,4,Green Line,369863,92466,2978
2020/01/01 05:00:00+00,Sunday,4,Heavy Rail,575833,143958,2979
2020/03/01 05:00:00+00,Sunday,5,Orange Line,191177,38235,2980
2019/11/01 04:00:00+00,Saturday,5,The RIDE,14615,2923,2981
2020/02/01 05:00:00+00,Sunday,4,Red Line,302314,75578,2982
2020/05/01 04:00:00+00,Saturday,4,The RIDE,3928,982,2983
2019/12/01 05:00:00+00,Saturday,4,Light Rail,369863,92466,2984
2020/01/01 05:00:00+00,Sunday,4,Green Line,262699,65675,2985
2020/03/01 05:00:00+00,Sunday,5,Red Line,216069,43214,2986
2019/11/01 04:00:00+00,Sunday,4,Blue Line,112953,28238,2987
2020/02/01 05:00:00+00,Sunday,4,Heavy Rail,578911,144728,2988
2020/05/01 04:00:00+00,Sunday,5,Blue Line,18464,3693,2989
2019/12/01 05:00:00+00,Saturday,4,Silver Line,76916,19229,2990
2020/01/01 05:00:00+00,Sunday,4,Light Rail,262699,65675,2991
2020/03/01 05:00:00+00,Sunday,5,Heavy Rail,493951,98790,2992
2019/11/01 04:00:00+00,Sunday,4,Orange Line,155715,38929,2993
2020/02/01 05:00:00+00,Sunday,4,Green Line,277211,69303,2994
2020/05/01 04:00:00+00,Sunday,5,Orange Line,58702,11740,2995
2019/12/01 05:00:00+00,Saturday,4,Bus,685719,171430,2996
2020/01/01 05:00:00+00,Sunday,4,Silver Line,72457,18114,2997
2020/03/01 05:00:00+00,Sunday,5,Green Line,168034,33607,2998
2019/11/01 04:00:00+00,Sunday,4,Red Line,235698,58924,2999
2020/02/01 05:00:00+00,Sunday,4,Light Rail,277211,69303,3000
2020/05/01 04:00:00+00,Sunday,5,Red Line,71224,14245,3001
2019/12/01 05:00:00+00,Saturday,4,Trackless Trolley,17205,4301,3002
2019/11/01 04:00:00+00,Sunday,4,Heavy Rail,504365,126091,3003
2020/01/01 05:00:00+00,Sunday,4,Bus,448113,112028,3004
2020/02/01 05:00:00+00,Sunday,4,Silver Line,65391,16348,3005
2020/03/01 05:00:00+00,Sunday,5,Light Rail,168034,33607,3006
2020/05/01 04:00:00+00,Sunday,5,Heavy Rail,148390,29678,3007
2019/11/01 04:00:00+00,Sunday,4,Green Line,261918,65480,3008
2019/12/01 05:00:00+00,Saturday,4,All Bus,779840,194960,3009
2020/01/01 05:00:00+00,Sunday,4,All Bus,520570,130142,3010
2020/02/01 05:00:00+00,Sunday,4,Bus,449140,112285,3011
2020/03/01 05:00:00+00,Sunday,5,Silver Line,61924,12385,3012
2020/05/01 04:00:00+00,Sunday,5,Green Line,33191,6638,3013
2019/11/01 04:00:00+00,Sunday,4,Light Rail,261918,65480,3014
2019/12/01 05:00:00+00,Saturday,4,Commuter Rail,68980,17245,3015
2020/01/01 05:00:00+00,Sunday,4,Commuter Rail,47496,11874,3016
2020/02/01 05:00:00+00,Sunday,4,All Bus,514531,128633,3017
2020/03/01 05:00:00+00,Sunday,5,Bus,392645,78529,3018
2020/05/01 04:00:00+00,Sunday,5,Light Rail,33191,6638,3019
2019/11/01 04:00:00+00,Sunday,4,Silver Line,72907,18227,3020
2019/12/01 05:00:00+00,Saturday,4,The RIDE,11872,2968,3021
2020/01/01 05:00:00+00,Sunday,4,The RIDE,9821,2455,3022
2020/02/01 05:00:00+00,Sunday,4,Commuter Rail,46292,11573,3023
2020/03/01 05:00:00+00,Sunday,5,All Bus,454570,90914,3024
2020/05/01 04:00:00+00,Sunday,5,Silver Line,35334,7067,3025
2019/11/01 04:00:00+00,Sunday,4,Bus,451567,112892,3026
2019/12/01 05:00:00+00,Sunday,5,Blue Line,147696,29539,3027
2020/01/01 05:00:00+00,Total,31,Blue Line,1761812,56833,3028
2020/02/01 05:00:00+00,Sunday,4,The RIDE,10739,2685,3029
2020/03/01 05:00:00+00,Sunday,5,Commuter Rail,24824,4965,3030
2020/05/01 04:00:00+00,Sunday,5,Bus,265812,53162,3031
2019/11/01 04:00:00+00,Sunday,4,All Bus,524474,131118,3032
2019/12/01 05:00:00+00,Sunday,5,Orange Line,329166,65833,3033
2020/01/01 05:00:00+00,Total,31,Orange Line,5041751,162637,3034
2020/02/01 05:00:00+00,Total,29,Blue Line,1607164,55419,3035
2020/03/01 05:00:00+00,Sunday,5,The RIDE,7097,1419,3036
2020/05/01 04:00:00+00,Sunday,5,All Bus,301146,60229,3037
2019/11/01 04:00:00+00,Sunday,4,Commuter Rail,47268,11817,3038
2019/12/01 05:00:00+00,Sunday,5,Red Line,292614,58523,3039
2020/01/01 05:00:00+00,Total,31,Red Line,6286266,202783,3040
2020/02/01 05:00:00+00,Total,29,Orange Line,4558025,157173,3041
2020/03/01 05:00:00+00,Total,31,Blue Line,990544,31953,3042
2020/05/01 04:00:00+00,Sunday,5,Commuter Rail,3430,686,3043
2019/11/01 04:00:00+00,Sunday,4,The RIDE,11177,2794,3044
2019/12/01 05:00:00+00,Sunday,5,Heavy Rail,769476,153895,3045
2020/01/01 05:00:00+00,Total,31,Heavy Rail,13089829,422253,3046
2020/02/01 05:00:00+00,Total,29,Red Line,5777034,199208,3047
2020/03/01 05:00:00+00,Total,31,Orange Line,2614438,84337,3048
2020/05/01 04:00:00+00,Sunday,5,The RIDE,2807,561,3049
2019/11/01 04:00:00+00,Total,30,Blue Line,1692175,56406,3050
2019/12/01 05:00:00+00,Sunday,5,Green Line,349748,69950,3051
2020/01/01 05:00:00+00,Total,31,Green Line,4380768,141315,3052
2020/01/01 05:00:00+00,Total,31,Light Rail,4380768,141315,3053
2020/01/01 05:00:00+00,Total,31,Silver Line,973248,31395,3054
2020/01/01 05:00:00+00,Total,31,Bus,8493962,273999,3055
2020/01/01 05:00:00+00,Total,31,Trackless Trolley,226895,7319,3056
2020/01/01 05:00:00+00,Total,31,Private Bus,96904,3126,3057
2020/01/01 05:00:00+00,Total,31,All Bus,9791008,315839,3058
2020/01/01 05:00:00+00,Total,31,Commuter Rail,2751882,88770,3059
2020/01/01 05:00:00+00,Total,31,Ferry,149484,4822,3060
2020/01/01 05:00:00+00,Total,31,The RIDE,113900,3674,3061
2019/12/01 05:00:00+00,Weekday,21,Blue Line,1310945,62426,3062
2019/12/01 05:00:00+00,Weekday,21,Orange Line,3895916,185520,3063
2019/12/01 05:00:00+00,Weekday,21,Red Line,4735624,225506,3064
2019/12/01 05:00:00+00,Weekday,21,Heavy Rail,9942485,473452,3065
2019/12/01 05:00:00+00,Weekday,21,Green Line,3267278,155585,3066
2019/12/01 05:00:00+00,Weekday,21,Light Rail,3267278,155585,3067
2019/12/01 05:00:00+00,Weekday,21,Silver Line,739832,35230,3068
2019/12/01 05:00:00+00,Weekday,21,Bus,6502513,309643,3069
2019/12/01 05:00:00+00,Weekday,21,Trackless Trolley,185293,8823,3070
2019/12/01 05:00:00+00,Weekday,21,Private Bus,149016,7096,3071
2019/12/01 05:00:00+00,Weekday,21,All Bus,7576654,360793,3072
2019/12/01 05:00:00+00,Weekday,21,Commuter Rail,2538270,120870,3073
2020/03/01 05:00:00+00,Total,31,Red Line,3081763,99412,3074
2019/11/01 04:00:00+00,Total,30,Orange Line,4680848,156028,3075
2020/05/01 04:00:00+00,Total,31,Blue Line,161186,5200,3076
2019/12/01 05:00:00+00,Sunday,5,Light Rail,349748,69950,3077
2020/03/01 05:00:00+00,Total,31,Heavy Rail,6686746,215701,3078
2019/11/01 04:00:00+00,Total,30,Red Line,5843990,194800,3079
2020/05/01 04:00:00+00,Total,31,Orange Line,548013,17678,3080
2019/12/01 05:00:00+00,Sunday,5,Silver Line,83436,16687,3081
2020/03/01 05:00:00+00,Total,31,Green Line,2035024,65646,3082
2019/11/01 04:00:00+00,Total,30,Heavy Rail,12217013,407234,3083
2020/05/01 04:00:00+00,Total,31,Red Line,635404,20497,3084
2019/12/01 05:00:00+00,Sunday,5,Bus,546703,109341,3085
2020/03/01 05:00:00+00,Total,31,Light Rail,2035024,65646,3086
2019/11/01 04:00:00+00,Total,30,Green Line,4280366,142679,3087
2020/05/01 04:00:00+00,Total,31,Heavy Rail,1344603,43374,3088
2019/12/01 05:00:00+00,Sunday,5,All Bus,630139,126028,3089
2020/03/01 05:00:00+00,Total,31,Silver Line,592061,19099,3090
2019/11/01 04:00:00+00,Total,30,Light Rail,4280366,142679,3091
2020/05/01 04:00:00+00,Total,31,Green Line,292649,9440,3092
2019/12/01 05:00:00+00,Sunday,5,Commuter Rail,60625,12125,3093
2020/03/01 05:00:00+00,Total,31,Bus,5391097,173906,3094
2019/11/01 04:00:00+00,Total,30,Silver Line,1024992,34166,3095
2020/05/01 04:00:00+00,Total,31,Light Rail,292649,9440,3096
2019/12/01 05:00:00+00,Sunday,5,The RIDE,13800,2760,3097
2020/03/01 05:00:00+00,Total,31,Trackless Trolley,112941,3643,3098
2019/11/01 04:00:00+00,Total,30,Bus,8299364,276645,3099
2020/05/01 04:00:00+00,Total,31,Silver Line,268072,8647,3100
2019/12/01 05:00:00+00,Total,31,Blue Line,1626513,52468,3101
2020/03/01 05:00:00+00,Total,31,Private Bus,49084,1583,3102
2019/11/01 04:00:00+00,Total,30,Trackless Trolley,227698,7590,3103
2020/05/01 04:00:00+00,Total,31,Bus,2597139,83779,3104
2019/12/01 05:00:00+00,Total,31,Orange Line,4607713,148636,3105
2020/03/01 05:00:00+00,Total,31,All Bus,6145183,198232,3106
2019/11/01 04:00:00+00,Total,30,Private Bus,78954,2632,3107
2020/05/01 04:00:00+00,Total,31,Private Bus,19666,634,3108
2019/12/01 05:00:00+00,Total,31,Red Line,5341073,172293,3109
2020/03/01 05:00:00+00,Total,31,Commuter Rail,1047559,33792,3110
2019/11/01 04:00:00+00,Total,30,All Bus,9631009,321034,3111
2020/05/01 04:00:00+00,Total,31,All Bus,2884876,93061,3112
2019/12/01 05:00:00+00,Total,31,Heavy Rail,11575299,373397,3113
2020/03/01 05:00:00+00,Total,31,Ferry,86936,2804,3114
2019/11/01 04:00:00+00,Total,30,Commuter Rail,2797188,93240,3115
2020/05/01 04:00:00+00,Total,31,Commuter Rail,62083,2003,3116
2019/12/01 05:00:00+00,Total,31,Green Line,4011537,129404,3117
2020/03/01 05:00:00+00,Total,31,The RIDE,67365,2173,3118
2019/11/01 04:00:00+00,Total,30,Ferry,147331,4911,3119
2020/05/01 04:00:00+00,Total,31,The RIDE,35627,1149,3120
2019/12/01 05:00:00+00,Total,31,Light Rail,4011537,129404,3121
2020/02/01 05:00:00+00,Weekday,19,Blue Line,1277354,67229,3122
2019/11/01 04:00:00+00,Total,30,The RIDE,108256,3609,3123
2020/04/01 04:00:00+00,Weekday,22,Blue Line,167665,7621,3124
2019/12/01 05:00:00+00,Total,31,Silver Line,910832,29382,3125
2020/02/01 05:00:00+00,Weekday,19,Orange Line,3954096,208110,3126
2019/10/01 04:00:00+00,Weekday,23,Blue Line,1691330,73536,3127
2020/04/01 04:00:00+00,Weekday,22,Orange Line,383582,17436,3128
2019/12/01 05:00:00+00,Total,31,Bus,7788651,251247,3129
2020/02/01 05:00:00+00,Weekday,19,Red Line,4848407,255179,3130
2019/10/01 04:00:00+00,Weekday,23,Orange Line,5021380,218321,3131
2020/04/01 04:00:00+00,Weekday,22,Red Line,434375,19744,3132
2019/12/01 05:00:00+00,Total,31,Trackless Trolley,202498,6532,3133
2020/02/01 05:00:00+00,Weekday,19,Heavy Rail,10079857,530519,3134
2019/10/01 04:00:00+00,Weekday,23,Red Line,6281604,273113,3135
2020/04/01 04:00:00+00,Weekday,22,Heavy Rail,985623,44801,3136
2019/12/01 05:00:00+00,Total,31,Private Bus,96504,3113,3137
2020/02/01 05:00:00+00,Weekday,19,Green Line,3260192,171589,3138
2019/10/01 04:00:00+00,Weekday,23,Heavy Rail,12994314,564970,3139
2020/04/01 04:00:00+00,Weekday,22,Green Line,190670,8667,3140
2019/12/01 05:00:00+00,Total,31,All Bus,8998485,290274,3141
2020/02/01 05:00:00+00,Weekday,19,Light Rail,3260192,171589,3142
2019/10/01 04:00:00+00,Weekday,23,Green Line,4263843,185384,3143
2020/04/01 04:00:00+00,Weekday,22,Light Rail,190670,8667,3144
2019/12/01 05:00:00+00,Total,31,Commuter Rail,2679997,86452,3145
2020/02/01 05:00:00+00,Weekday,19,Silver Line,709788,37357,3146
2019/10/01 04:00:00+00,Weekday,23,Light Rail,4263843,185384,3147
2020/04/01 04:00:00+00,Weekday,22,Silver Line,172252,7830,3148
2020/04/01 04:00:00+00,Weekday,22,Bus,1695919,77087,3149
2020/04/01 04:00:00+00,Weekday,22,Private Bus,18414,837,3150
2020/04/01 04:00:00+00,Weekday,22,All Bus,1886586,85754,3151
2020/04/01 04:00:00+00,Weekday,22,Commuter Rail,52726,2397,3152
2020/02/01 05:00:00+00,Total,29,Heavy Rail,11942222,411801,3153
2020/02/01 05:00:00+00,Weekday,19,Bus,6547625,344612,3154
2020/02/01 05:00:00+00,Total,29,Green Line,4111130,141763,3155
2019/12/01 05:00:00+00,Total,31,Ferry,140704,4539,3156
2019/10/01 04:00:00+00,Weekday,23,Silver Line,894937,38910,3157
2020/02/01 05:00:00+00,Total,29,Light Rail,4111130,141763,3158
2020/02/01 05:00:00+00,Weekday,19,Trackless Trolley,197457,10392,3159
2019/12/01 05:00:00+00,Total,31,The RIDE,95797,3090,3160
2019/10/01 04:00:00+00,Weekday,23,Bus,8285653,360246,3161
2020/02/01 05:00:00+00,Total,29,Silver Line,901915,31101,3162
2020/02/01 05:00:00+00,Weekday,19,Private Bus,107730,5670,3163
2019/11/01 04:00:00+00,Weekday,20,Blue Line,1370955,68548,3164
2019/10/01 04:00:00+00,Weekday,23,Trackless Trolley,243147,10572,3165
2020/02/01 05:00:00+00,Total,29,Bus,8008280,276148,3166
2020/02/01 05:00:00+00,Weekday,19,All Bus,7562599,398032,3167
2019/11/01 04:00:00+00,Weekday,20,Orange Line,4165782,208289,3168
2019/10/01 04:00:00+00,Weekday,23,Private Bus,76475,3325,3169
2020/02/01 05:00:00+00,Total,29,Trackless Trolley,227285,7837,3170
2020/02/01 05:00:00+00,Weekday,19,Commuter Rail,2267555,119345,3171
2019/11/01 04:00:00+00,Weekday,20,Red Line,5144157,257208,3172
2020/02/01 05:00:00+00,Total,29,Private Bus,107717,3714,3173
2020/02/01 05:00:00+00,Weekday,19,Ferry,100833,5307,3174
2019/11/01 04:00:00+00,Weekday,20,Heavy Rail,10680895,534045,3175
2020/02/01 05:00:00+00,Total,29,All Bus,9245197,318800,3176
2020/02/01 05:00:00+00,Weekday,19,The RIDE,109801,5779,3177
2019/11/01 04:00:00+00,Weekday,20,Green Line,3510859,175543,3178
2020/02/01 05:00:00+00,Total,29,Commuter Rail,2415976,83310,3179
2019/11/01 04:00:00+00,Weekday,20,Light Rail,3510859,175543,3180
2020/02/01 05:00:00+00,Total,29,Ferry,140662,4850,3181
2019/11/01 04:00:00+00,Weekday,20,Silver Line,829138,41457,3182
2020/02/01 05:00:00+00,Total,29,The RIDE,98059,3381,3183
2019/11/01 04:00:00+00,Weekday,20,Bus,6872558,343628,3184
2020/01/01 05:00:00+00,Weekday,21,Blue Line,1397179,66532,3185
2019/11/01 04:00:00+00,Weekday,20,Trackless Trolley,202936,10147,3186
2020/01/01 05:00:00+00,Weekday,21,Orange Line,4321821,205801,3187
2019/11/01 04:00:00+00,Weekday,20,Private Bus,66260,3313,3188
2020/01/01 05:00:00+00,Weekday,21,Red Line,5260299,250490,3189
2019/11/01 04:00:00+00,Weekday,20,All Bus,7970892,398545,3190
2020/01/01 05:00:00+00,Weekday,21,Heavy Rail,10979299,522824,3191
2020/01/01 05:00:00+00,Weekday,21,Green Line,3473442,165402,3192
2020/01/01 05:00:00+00,Weekday,21,Light Rail,3473442,165402,3193
2020/01/01 05:00:00+00,Weekday,21,Silver Line,778615,37077,3194
2020/01/01 05:00:00+00,Weekday,21,Bus,7153034,340621,3195
2020/01/01 05:00:00+00,Weekday,21,Trackless Trolley,205072,9765,3196
2020/01/01 05:00:00+00,Weekday,21,Private Bus,107100,5100,3197
2020/01/01 05:00:00+00,Weekday,21,All Bus,8243821,392563,3198
2020/01/01 05:00:00+00,Weekday,21,Commuter Rail,2506182,119342,3199
2020/01/01 05:00:00+00,Weekday,21,Ferry,106785,5085,3200
2019/09/01 04:00:00+00,Weekday,20,Private Bus,62320,3116,3201
2019/09/01 04:00:00+00,Weekday,20,All Bus,8280634,414032,3202
2019/05/01 04:00:00+00,Weekday,23,Light Rail,3960256,172185,3203
2019/09/01 04:00:00+00,Weekday,20,Commuter Rail,2386500,119325,3204
2019/09/01 04:00:00+00,Weekday,20,Ferry,135280,6764,3205
2019/09/01 04:00:00+00,Weekday,20,The RIDE,117000,5850,3206
2019/03/01 05:00:00+00,Weekday,21,Heavy Rail,10719788,510466,3207
2019/05/01 04:00:00+00,Weekday,23,Silver Line,850391,36974,3208
2019/09/01 04:00:00+00,Saturday,4,Blue Line,184724,46181,3209
2019/05/01 04:00:00+00,Weekday,23,Bus,7635732,331988,3210
2019/03/01 05:00:00+00,Weekday,21,Green Line,3728685,177556,3211
2019/09/01 04:00:00+00,Saturday,4,Orange Line,411353,102838,3212
2019/05/01 04:00:00+00,Weekday,23,Trackless Trolley,249078,10829,3213
2019/03/01 05:00:00+00,Weekday,21,Light Rail,3728685,177556,3214
2019/09/01 04:00:00+00,Saturday,4,Red Line,548736,137184,3215
2019/05/01 04:00:00+00,Weekday,23,Private Bus,76015,3305,3216
2019/03/01 05:00:00+00,Weekday,21,Silver Line,786680,37461,3217
2019/09/01 04:00:00+00,Saturday,4,Heavy Rail,1144813,286203,3218
2019/05/01 04:00:00+00,Weekday,23,All Bus,8811215,383096,3219
2019/03/01 05:00:00+00,Weekday,21,Bus,7155921,340758,3220
2019/09/01 04:00:00+00,Saturday,4,Green Line,492638,123160,3221
2019/05/01 04:00:00+00,Weekday,23,Commuter Rail,2777871,120777,3222
2019/03/01 05:00:00+00,Weekday,21,Trackless Trolley,228674,10889,3223
2019/09/01 04:00:00+00,Saturday,4,Light Rail,492638,123160,3224
2019/05/01 04:00:00+00,Weekday,23,Ferry,129168,5616,3225
2019/03/01 05:00:00+00,Weekday,21,Private Bus,64281,3061,3226
2019/09/01 04:00:00+00,Saturday,4,Silver Line,85058,21264,3227
2019/05/01 04:00:00+00,Weekday,23,The RIDE,138460,6020,3228
2019/03/01 05:00:00+00,Weekday,21,All Bus,8235556,392169,3229
2019/06/01 04:00:00+00,Weekday,20,Silver Line,765614,38281,3230
2019/09/01 04:00:00+00,Saturday,4,Bus,730792,182698,3231
2019/05/01 04:00:00+00,Saturday,4,Blue Line,177652,44413,3232
2019/03/01 05:00:00+00,Weekday,21,Commuter Rail,2558136,121816,3233
2019/06/01 04:00:00+00,Weekday,20,Bus,6752289,337614,3234
2019/09/01 04:00:00+00,Saturday,4,Trackless Trolley,23154,5788,3235
2019/05/01 04:00:00+00,Saturday,4,Orange Line,436823,109206,3236
2019/03/01 05:00:00+00,Weekday,21,Ferry,115773,5513,3237
2019/06/01 04:00:00+00,Weekday,20,Trackless Trolley,217986,10899,3238
2019/09/01 04:00:00+00,Saturday,4,All Bus,839005,209751,3239
2019/05/01 04:00:00+00,Saturday,4,Red Line,532708,133177,3240
2019/03/01 05:00:00+00,Weekday,21,The RIDE,127197,6057,3241
2019/06/01 04:00:00+00,Weekday,20,Private Bus,66540,3327,3242
2019/06/01 04:00:00+00,Weekday,20,All Bus,7802430,390122,3243
2019/06/01 04:00:00+00,Weekday,20,Commuter Rail,2394520,119726,3244
2019/06/01 04:00:00+00,Weekday,20,Ferry,141620,7081,3245
2019/06/01 04:00:00+00,Weekday,20,The RIDE,121120,6056,3246
2019/06/01 04:00:00+00,Saturday,5,Blue Line,228042,45608,3247
2019/06/01 04:00:00+00,Saturday,5,Orange Line,556675,111335,3248
2019/06/01 04:00:00+00,Saturday,5,Red Line,650702,130140,3249
2019/06/01 04:00:00+00,Saturday,5,Heavy Rail,1435419,287084,3250
2019/06/01 04:00:00+00,Saturday,5,Green Line,565978,113196,3251
2019/06/01 04:00:00+00,Saturday,5,Light Rail,565978,113196,3252
2019/06/01 04:00:00+00,Saturday,5,Silver Line,115498,23100,3253
2019/06/01 04:00:00+00,Saturday,5,Bus,901980,180396,3254
2019/06/01 04:00:00+00,Saturday,5,Trackless Trolley,28309,5662,3255
2019/06/01 04:00:00+00,Saturday,5,All Bus,1045787,209157,3256
2019/06/01 04:00:00+00,Saturday,5,Commuter Rail,93285,18657,3257
2019/06/01 04:00:00+00,Saturday,5,The RIDE,15500,3100,3258
2019/06/01 04:00:00+00,Sunday,5,Blue Line,166652,33330,3259
2019/06/01 04:00:00+00,Sunday,5,Orange Line,388652,77730,3260
2019/06/01 04:00:00+00,Sunday,5,Red Line,477056,95411,3261
2019/06/01 04:00:00+00,Sunday,5,Heavy Rail,1032360,206472,3262
2019/06/01 04:00:00+00,Sunday,5,Green Line,401523,80305,3263
2019/06/01 04:00:00+00,Sunday,5,Light Rail,401523,80305,3264
2019/06/01 04:00:00+00,Sunday,5,Silver Line,93567,18713,3265
2019/06/01 04:00:00+00,Sunday,5,Bus,576674,115335,3266
2019/06/01 04:00:00+00,Sunday,5,All Bus,670242,134048,3267
2019/06/01 04:00:00+00,Sunday,5,Commuter Rail,63095,12619,3268
2019/06/01 04:00:00+00,Sunday,5,The RIDE,13650,2730,3269
2019/06/01 04:00:00+00,Total,30,Blue Line,1817989,60600,3270
2019/06/01 04:00:00+00,Total,30,Orange Line,5080673,169356,3271
2019/06/01 04:00:00+00,Total,30,Red Line,6124291,204143,3272
2019/06/01 04:00:00+00,Total,30,Heavy Rail,13022952,434098,3273
2019/06/01 04:00:00+00,Total,30,Green Line,4628747,154292,3274
2019/06/01 04:00:00+00,Total,30,Light Rail,4628747,154292,3275
2019/06/01 04:00:00+00,Total,30,Silver Line,986733,32891,3276
2019/06/01 04:00:00+00,Total,30,Bus,8192818,273094,3277
2019/06/01 04:00:00+00,Total,30,Trackless Trolley,237303,7910,3278
2019/06/01 04:00:00+00,Total,30,Private Bus,82568,2752,3279
2019/06/01 04:00:00+00,Total,30,All Bus,9499422,316647,3280
2019/06/01 04:00:00+00,Total,30,Commuter Rail,2465906,82197,3281
2019/06/01 04:00:00+00,Total,30,Ferry,167104,5570,3282
2019/06/01 04:00:00+00,Total,30,The RIDE,150073,5002,3283
2019/05/01 04:00:00+00,Weekday,23,Blue Line,1510954,65694,3284
2019/05/01 04:00:00+00,Weekday,23,Orange Line,4528760,196903,3285
2019/05/01 04:00:00+00,Weekday,23,Red Line,5681868,247038,3286
2019/05/01 04:00:00+00,Weekday,23,Heavy Rail,11721582,509634,3287
2019/05/01 04:00:00+00,Weekday,23,Green Line,3960256,172185,3288
2019/08/01 04:00:00+00,Weekday,22,Trackless Trolley,223833,10174,3289
2019/09/01 04:00:00+00,Saturday,4,Commuter Rail,66024,16506,3290
2019/05/01 04:00:00+00,Saturday,4,Heavy Rail,1147184,286796,3291
2019/03/01 05:00:00+00,Saturday,5,Blue Line,182708,36542,3292
2019/08/01 04:00:00+00,Weekday,22,Private Bus,71610,3255,3293
2019/09/01 04:00:00+00,Saturday,4,The RIDE,11544,2886,3294
2019/05/01 04:00:00+00,Saturday,4,Green Line,461370,115342,3295
2019/03/01 05:00:00+00,Saturday,5,Orange Line,493859,98772,3296
2019/08/01 04:00:00+00,Weekday,22,All Bus,8234113,374278,3297
2019/09/01 04:00:00+00,Sunday,5,Blue Line,180530,36106,3298
2019/05/01 04:00:00+00,Saturday,4,Light Rail,461370,115342,3299
2019/03/01 05:00:00+00,Saturday,5,Red Line,564893,112979,3300
2019/08/01 04:00:00+00,Weekday,22,Commuter Rail,2655004,120682,3301
2019/09/01 04:00:00+00,Sunday,5,Orange Line,379862,75972,3302
2019/05/01 04:00:00+00,Saturday,4,Silver Line,90377,22594,3303
2019/03/01 05:00:00+00,Saturday,5,Heavy Rail,1241459,248292,3304
2019/08/01 04:00:00+00,Weekday,22,Ferry,123200,5600,3305
2019/09/01 04:00:00+00,Sunday,5,Red Line,520834,104167,3306
2019/05/01 04:00:00+00,Saturday,4,Bus,721154,180288,3307
2019/03/01 05:00:00+00,Saturday,5,Green Line,558866,111773,3308
2019/08/01 04:00:00+00,Weekday,22,The RIDE,125884,5722,3309
2019/09/01 04:00:00+00,Sunday,5,Heavy Rail,1081226,216245,3310
2019/05/01 04:00:00+00,Saturday,4,Trackless Trolley,21268,5317,3311
2019/03/01 05:00:00+00,Saturday,5,Light Rail,558866,111773,3312
2019/08/01 04:00:00+00,Saturday,5,Blue Line,227234,45447,3313
2019/09/01 04:00:00+00,Sunday,5,Green Line,460581,92116,3314
2019/05/01 04:00:00+00,Saturday,4,All Bus,832799,208200,3315
2019/03/01 05:00:00+00,Saturday,5,Silver Line,105953,21191,3316
2019/08/01 04:00:00+00,Saturday,5,Orange Line,496504,99301,3317
2019/09/01 04:00:00+00,Sunday,5,Light Rail,460581,92116,3318
2019/05/01 04:00:00+00,Saturday,4,Commuter Rail,74820,18705,3319
2019/03/01 05:00:00+00,Saturday,5,Bus,822544,164509,3320
2019/08/01 04:00:00+00,Saturday,5,Red Line,614354,122871,3321
2019/09/01 04:00:00+00,Sunday,5,Silver Line,89845,17969,3322
2019/05/01 04:00:00+00,Saturday,4,The RIDE,12000,3000,3323
2019/03/01 05:00:00+00,Saturday,5,Trackless Trolley,27327,5465,3324
2019/08/01 04:00:00+00,Saturday,5,Heavy Rail,1338091,267618,3325
2019/09/01 04:00:00+00,Sunday,5,Bus,615343,123069,3326
2019/05/01 04:00:00+00,Sunday,4,Blue Line,129477,32369,3327
2019/03/01 05:00:00+00,Saturday,5,All Bus,955824,191165,3328
2019/08/01 04:00:00+00,Saturday,5,Green Line,519289,103858,3329
2019/09/01 04:00:00+00,Sunday,5,All Bus,705188,141038,3330
2019/05/01 04:00:00+00,Sunday,4,Orange Line,297767,74442,3331
2019/03/01 05:00:00+00,Saturday,5,Commuter Rail,92640,18528,3332
2019/08/01 04:00:00+00,Saturday,5,Light Rail,519289,103858,3333
2019/09/01 04:00:00+00,Sunday,5,Commuter Rail,59505,11901,3334
2019/05/01 04:00:00+00,Sunday,4,Red Line,388111,97028,3335
2019/03/01 05:00:00+00,Saturday,5,The RIDE,19865,3973,3336
2019/03/01 05:00:00+00,Sunday,5,Blue Line,134619,26924,3337
2019/03/01 05:00:00+00,Sunday,5,Orange Line,352086,70417,3338
2019/03/01 05:00:00+00,Sunday,5,Red Line,443749,88750,3339
2019/03/01 05:00:00+00,Sunday,5,Heavy Rail,930455,186091,3340
2019/03/01 05:00:00+00,Sunday,5,Green Line,405214,81043,3341
2019/03/01 05:00:00+00,Sunday,5,Light Rail,405214,81043,3342
2019/03/01 05:00:00+00,Sunday,5,Silver Line,89404,17881,3343
2019/03/01 05:00:00+00,Sunday,5,Bus,522371,104474,3344
2019/03/01 05:00:00+00,Sunday,5,All Bus,611775,122355,3345
2019/03/01 05:00:00+00,Sunday,5,Commuter Rail,68645,13729,3346
2019/03/01 05:00:00+00,Sunday,5,The RIDE,12703,2541,3347
